;origin_css;destination_css;distance;duration
99;Amalievej 1;Solvgade 11;3.8;11 
100;Amalievej 1;Esthersvej 34;8.2;17 
101;Amalievej 1;Husumvej (overfor 131);6.7;13 
102;Amalievej 1;Drechselsgade 13;5.3;14 
103;Amalievej 1;Orientkaj 4;6.1;16 
104;Amalievej 1;Bygmestervej 59;3.3;9 
105;Amalievej 1;Egirsgade 65;3.2;10 
106;Amalievej 1;Borups Plads (overfor Stefansgade 73);1.7;5 
107;Amalievej 1;Arne Jacobsens Alle 7;9.1;16 
108;Amalievej 1;Frederik Vs Vej 13  (Rigshospital P huset);4.0;11 
109;Amalievej 1;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);8.4;14 
110;Amalievej 1;Borgbjergsvej 43;3.7;11 
111;Amalievej 1;Vigerslev Venge 60;5.5;14 
112;Amalievej 1;Dronninglundvej 12;4.4;12 
113;Amalievej 1;Westend 8;1.6;6 
114;Esthersvej 34;Albaniensgade 4;10.1;26 
115;Esthersvej 34;Bispebjerg Bakke 22;3.9;10 
116;Esthersvej 34;Nesbyholmvej 1;6.5;14 
117;Esthersvej 34;Halvtolv 19;9.3;24 
118;Esthersvej 34;Solvgade 11;6.5;14 
119;Esthersvej 34;Amalievej 1;7.1;17 
120;Esthersvej 34;Husumvej (overfor 131);8.6;18 
121;Esthersvej 34;Drechselsgade 13;10.5;24 
122;Esthersvej 34;Orientkaj 4;4.0;10 
123;Esthersvej 34;Bygmestervej 59;4.4;11 
124;Esthersvej 34;Egirsgade 65;4.5;10 
125;Esthersvej 34;Borups Plads (overfor Stefansgade 73);6.0;14 
126;Esthersvej 34;Arne Jacobsens Alle 7;13.7;29 
127;Esthersvej 34;Frederik Vs Vej 13  (Rigshospital P huset);4.5;10 
128;Esthersvej 34;Soborg Hovedgade 88 /Carl Blochs Alle (p plads);3.7;10 
129;Esthersvej 34;Borgbjergsvej 43;12.0;28 
130;Esthersvej 34;Vigerslev Venge 60;12.0;27 
131;Esthersvej 34;Dronninglundvej 12;8.1;18 
132;Esthersvej 34;Westend 8;8.2;20 
133;Husumvej (overfor 131);Albaniensgade 4;11.4;23 
134;Husumvej (overfor 131);Bispebjerg Bakke 22;5.3;14 
135;Husumvej (overfor 131);Nesbyholmvej 1;2.6;5 
136;Husumvej (overfor 131);Halvtolv 19;11.5;24 
137;Husumvej (overfor 131);Solvgade 11;9.3;18 
138;Husumvej (overfor 131);Amalievej 1;6.7;12 
139;Husumvej (overfor 131);Esthersvej 34;7.3;18 
140;Husumvej (overfor 131);Drechselsgade 13;10.8;22 
141;Husumvej (overfor 131);Orientkaj 4;10.5;21 
142;Husumvej (overfor 131);Bygmestervej 59;5.6;12 
143;Husumvej (overfor 131);Egirsgade 65;5.9;14 
